id,province_id,country_id,name,geom
65,43,1,"SALDANHA MARINHO","0101000020E6100000BC739B8207904AC01B5D327C39653CC0"
66,43,1,"COLORADO","0101000020E6100000EBC5504EB47F4AC021A98592C9853CC0"
67,43,1,"SELBACH","0101000020E61000002C84F1CDF0794AC087728189CB9B3CC0"
68,43,1,"TAPERA","0101000020E61000005051F52B9D6F4AC0C552245F09A03CC0"
69,43,1,"ESPUMOSO","0101000020E6100000FC5069C4CC6C4AC0F9A1D28899B93CC0"
70,43,1,"NAO-ME-TOQUE","0101000020E61000004850FC1873694AC05111A7936C753CC0"
71,43,1,"VICTOR GRAEFF","0101000020E6100000BEF8A23D5E604AC0A0185932C78E3CC0"
72,43,1,"REDENTORA","0101000020E610000030629F008AD34AC06327BC04A79E3BC0"
73,43,1,"TUPARENDI","0101000020E6100000B112F3ACA4434BC0D522A298BCB93BC0"
74,43,1,"CAIBATE","0101000020E6100000F06C8FDE70514BC03D0CAD4ECE483CC0"
75,43,1,"PIRAPO","0101000020E610000037C1374D9F9B4BC0E7A8A3E36A0C3CC0"
76,43,1,"ROQUE GONZALES","0101000020E61000001C5BCF108E874BC0C151F2EA1C1B3CC0"
77,43,1,"DEZESSEIS DE NOVEMBRO","0101000020E6100000955E9B8D95844BC0D6C1C1DEC42C3CC0"
78,43,1,"SAO NICOLAU","0101000020E61000005DA10F96B1A14BC0B1170AD80E2E3CC0"
79,43,1,"CERRO LARGO","0101000020E61000004E0647C9AB5B4BC02041F163CC1D3CC0"
80,43,1,"SAO PAULO DAS MISSOES","0101000020E6100000A4A31CCC26864BC071C5C551B9FD3BC0"
81,43,1,"PORTO XAVIER","0101000020E6100000E3BF401020914BC04205871744E83BC0"
82,43,1,"PORTO LUCENA","0101000020E610000066BB421F2C834BC0FC8BA03193DC3BC0"
83,43,1,"CANDIDO GODOI","0101000020E610000051D9B0A6B2644BC01002F22554EC3BC0"
84,43,1,"CAMPINA DAS MISSOES","0101000020E610000047FE60E0B9714BC0E7C072840CF83BC0"
85,43,1,"SANTO CRISTO","0101000020E6100000FE5D9F39EB554BC0560A815CE2D03BC0"
